county,year,death_cancellations,pop,deaths
Dodge,2018,174,20705,197
Dooly,2012,116,14414,120
Dooly,2013,76,14370,120
Dooly,2014,103,14247,112
Dooly,2015,103,14034,130
Dooly,2016,111,13848,128
Dooly,2017,85,13690,111
Dooly,2018,105,13706,117
Dougherty,2012,523,94676,869
Dougherty,2013,617,93391,866
Dougherty,2014,697,92720,832
Dougherty,2015,758,91495,936
Dougherty,2016,687,90371,903
Dougherty,2017,745,89417,906
Dougherty,2018,757,91243,942
Douglas,2012,498,133580,804
Douglas,2013,471,136058,870
Douglas,2014,625,138055,890
Douglas,2015,645,140268,970
Douglas,2016,606,141872,966
Douglas,2017,705,143672,960
Douglas,2018,676,145331,959
Early,2012,126,10639,146
Early,2013,54,10537,152
Early,2014,166,10447,146
Early,2015,134,10452,125
Early,2016,107,10292,130
Early,2017,111,10304,150
Early,2018,105,10247,134
Echols,2012,20,3970,28
Echols,2013,25,3996,29
Echols,2014,27,4037,32
Echols,2015,31,4037,30
Echols,2016,27,3963,40
Echols,2017,22,3933,31
Echols,2018,18,4000,19
Effingham,2012,273,53336,390
Effingham,2013,230,54428,388
Effingham,2014,348,55419,436
Effingham,2015,310,57086,402
Effingham,2016,312,58692,447
Effingham,2017,339,60058,500
Effingham,2018,380,62190,483
Elbert,2012,146,19575,233
Elbert,2013,155,19487,268
Elbert,2014,250,19389,248
Elbert,2015,206,19299,246
Elbert,2016,166,19143,259
Elbert,2017,203,19108,251
Elbert,2018,198,19120,267
Emanuel,2012,189,22737,257
Emanuel,2013,180,22634,278
Emanuel,2014,207,22486,271
Emanuel,2015,229,22477,260
Emanuel,2016,218,22419,296
Emanuel,2017,254,22501,325
Emanuel,2018,216,22612,288
Evans,2012,73,10677,105
Evans,2013,79,10796,112
Evans,2014,101,10814,124
Evans,2015,112,10695,136
Evans,2016,72,10648,102
Evans,2017,92,10756,116
Evans,2018,101,10721,124
Fannin,2012,212,23605,309
Fannin,2013,111,23821,343
Fannin,2014,324,23856,289
Fannin,2015,286,24439,318
Fannin,2016,256,25032,345
Fannin,2017,315,25336,351
Fannin,2018,299,25964,342
Fayette,2012,526,107316,672
Fayette,2013,585,108063,823
Fayette,2014,608,109217,801
Fayette,2015,752,110203,878
Fayette,2016,651,111336,848
Fayette,2017,677,112629,826
Fayette,2018,700,113459,896
Floyd,2012,687,95934,999
Floyd,2013,368,95885,1023
Floyd,2014,717,95890,1023
Floyd,2015,860,96200,1088
Floyd,2016,692,96675,1081
Floyd,2017,792,97427,1072
Floyd,2018,788,97927,1152
Forsyth,2012,690,186825,924
Forsyth,2013,657,193852,942
Forsyth,2014,691,202659,1069
Forsyth,2015,756,211228,1170
Forsyth,2016,729,220311,1148
Forsyth,2017,841,228588,1141
Forsyth,2018,867,236612,1229
Franklin,2012,179,21914,274
Franklin,2013,157,22043,276
Franklin,2014,220,22176,285
Franklin,2015,256,22262,290
Franklin,2016,207,22292,285
Franklin,2017,223,22815,288
Franklin,2018,271,23023,324
Fulton,2012,3477,973236,5633
Fulton,2013,1864,981562,5971
Fulton,2014,5233,992022,6191
Fulton,2015,4913,1005775,6219
Fulton,2016,4448,1022714,6220
Fulton,2017,5575,1038884,6459
Fulton,2018,5386,1050114,6433
Gilmer,2012,217,28262,278
Gilmer,2013,169,28696,262
Gilmer,2014,254,28979,274
Gilmer,2015,270,29497,327
Gilmer,2016,257,29907,340
Gilmer,2017,288,30409,365
Gilmer,2018,280,30816,353
Glascock,2012,32,3103,44
Glascock,2013,15,3055,36
Glascock,2014,52,3004,43
Glascock,2015,26,3018,32
Glascock,2016,36,2979,47
Glascock,2017,30,3050,39
Glascock,2018,29,2995,42
Glynn,2012,594,80858,781
Glynn,2013,489,81494,813
Glynn,2014,629,82177,796
Glynn,2015,682,83373,829
Glynn,2016,624,84241,857
Glynn,2017,744,84859,935
Glynn,2018,632,85219,894
Gordon,2012,303,55651,453
Gordon,2013,222,55731,459
Gordon,2014,401,55815,502
Gordon,2015,366,56329,517
Gordon,2016,341,56933,514
Gordon,2017,362,57187,524
Gordon,2018,392,57685,588
Grady,2012,150,25266,243
Grady,2013,102,25098,282
Grady,2014,209,25214,266
Grady,2015,212,25076,237
Grady,2016,178,24844,274
Grady,2017,199,24749,274
Grady,2018,205,24748,275
Greene,2012,124,16120,176
Greene,2013,81,16248,201
Greene,2014,191,16424,198
Greene,2015,189,16644,194
Greene,2016,161,16896,193
Greene,2017,184,17220,228
Greene,2018,169,17698,208
Gwinnett,2012,2217,837018,3483
Gwinnett,2013,2137,853758,3747
Gwinnett,2014,2249,871394,3822
Gwinnett,2015,2675,888884,4078
Gwinnett,2016,2725,905277,4182
Gwinnett,2017,3006,918153,4200
Gwinnett,2018,3199,927781,4454
Habersham,2012,232,43393,421
Habersham,2013,132,43177,411
Habersham,2014,305,43583,396
Habersham,2015,315,43804,448
Habersham,2016,341,44123,476
Habersham,2017,344,44547,479
Habersham,2018,336,45388,446
